date;Type_Jour;Total
2020-08-05;JOVS;171407
2020-08-23;DIJFP;53569
2020-09-05;SA;126587
2020-09-17;JOHV;223610
2020-10-04;DIJFP;73808
2020-10-16;JOHV;191603
2020-12-15;JOHV;129197
2020-12-24;JOVS;111339
2020-12-28;JOVS;114431
2021-02-09;JOHV;78608
2021-02-10;JOHV;68495
2021-02-23;JOVS;92022
2021-04-12;JOVS;64310
2021-04-25;DIJFP;27347
2021-05-02;DIJFP;28775
2021-06-27;DIJFP;74848
2021-06-29;JOHV;204481
2021-07-05;JOVS;207938
2021-07-29;JOVS;173956
2021-08-22;DIJFP;57165
2021-09-12;DIJFP;83348
2021-09-14;JOHV;249282
2021-10-23;SA;152616
2021-11-19;JOHV;231838
2021-11-28;DIJFP;129120
2021-12-10;JOHV;230566
2022-01-16;DIJFP;87322
2022-02-20;DIJFP;83648
2022-03-15;JOHV;259359
2022-03-22;JOHV;265440
2022-04-03;DIJFP;101014
2022-04-11;JOHV;244100
2022-04-13;JOHV;261422
2022-05-15;DIJFP;114835
2022-05-23;JOHV;269447
2022-08-03;JOVS;207762
2022-09-17;SA;187859
2022-09-21;JOHV;297154
2022-10-27;JOVS;304910
2022-11-02;JOVS;283469
2022-11-13;DIJFP;113658
2023-01-01;DIJFP;55880
2023-01-09;JOHV;286850
2023-01-29;DIJFP;110361
2023-03-17;JOHV;243340
2023-04-08;SA;192010
2023-07-12;JOVS;302061
2023-10-06;JOHV;285901
2024-02-13;JOVS;297077
2024-02-22;JOVS;288920
2024-04-03;JOHV;314565
2024-04-29;JOHV;301885
2024-05-02;JOHV;305717
2024-06-14;JOHV;267288
2024-06-16;DIJFP;117515
2024-06-26;JOHV;361319
2024-07-25;JOVS;255875
2024-08-13;JOVS;185232
2024-09-04;JOHV;337219
2024-09-05;JOHV;346322
2024-11-06;JOHV;335479
2024-11-14;JOHV;362296
2024-11-17;DIJFP;156366
2024-11-28;JOHV;383093
2024-12-15;DIJFP;185309
2024-12-20;JOHV;324239
2024-12-22;DIJFP;199007
2024-12-30;JOVS;267775
2024-05-27;JOHV;305417
2024-06-01;SA;195156
2024-06-11;JOHV;348980
2024-07-02;JOHV;358510
2024-09-22;DIJFP;126588
2024-09-30;JOHV;336710
2024-10-12;SA;200266
2024-12-24;JOVS;222092
2024-04-25;JOHV;335294
2024-09-10;JOHV;351637
2019-04-20;SA;165628
2019-07-11;JOVS;387683
2019-06-03;JOHV;379570
2019-08-24;SA;138427
2019-09-25;JOHV;379587
2019-08-31;SA;160209
2019-09-29;DIJFP;117810
2019-11-03;DIJFP;99679
2019-11-27;JOHV;409934
2019-12-15;DIJFP;116656
2020-02-12;JOVS;357213
2020-03-09;JOHV;338541
2020-03-15;DIJFP;34879
2020-02-25;JOHV;379604
2020-06-29;JOHV;169570
2020-07-13;DIJFP;139519
2020-04-25;SA;10159
2020-07-16;JOVS;216889
2020-06-02;JOHV;74858
2020-10-18;DIJFP;71191
2020-06-04;JOHV;81212
2020-06-21;DIJFP;56347
2020-11-16;JOHV;64885
2020-12-03;JOHV;110611
2021-01-04;JOHV;111820
2021-02-28;DIJFP;27234
2020-12-07;JOHV;110938
2021-05-14;DIJFP;63092
2020-12-17;JOHV;134144
2021-01-09;SA;105062
2021-02-24;JOVS;92866
2021-03-25;JOHV;79576
2021-09-17;JOHV;211604
2021-04-27;JOHV;86500
2021-05-15;SA;43094
2022-02-18;JOHV;148984
2022-03-19;SA;155950
2022-03-24;JOHV;260022
2022-05-03;JOVS;240988
2021-09-16;JOHV;242246
2022-08-24;JOVS;214032
2021-09-30;JOHV;257419
2021-10-15;JOHV;227210
2023-01-14;SA;191463
2023-01-18;JOHV;312740
2023-02-03;JOHV;258749
2023-02-08;JOHV;289008
2022-04-21;JOHV;272946
2023-03-14;JOHV;309540
2022-05-30;JOHV;233883
2023-06-11;DIJFP;119465
2022-08-12;JOVS;161334
2022-10-20;JOHV;321431
2022-11-11;DIJFP;151290
2022-11-18;JOHV;265420
2023-10-14;SA;179739
2022-12-29;JOVS;223911
2023-11-16;JOHV;339152
2023-12-01;JOHV;293403
2023-10-05;JOHV;359490
2023-12-07;JOHV;364885
2023-10-11;JOHV;322177
2023-12-22;JOHV;291290
2023-10-21;SA;170401
2024-02-25;DIJFP;99386
2023-11-14;JOHV;348902
2024-03-24;DIJFP;100285
2023-12-17;DIJFP;157403
2024-01-12;JOHV;276602
2024-01-25;JOHV;326904
2024-03-05;JOHV;316887
2024-03-27;JOHV;302957
2024-04-04;JOHV;319062
2024-04-18;JOVS;301390
2024-04-20;SA;187227
2019-03-17;DIJFP;111500
2019-03-26;JOHV;384052
2019-04-09;JOHV;390734
2019-05-23;JOHV;395930
2019-06-30;DIJFP;152949
2019-07-27;SA;159454
2019-09-12;JOHV;375359
2019-10-15;JOHV;367801
2019-10-31;JOVS;324862
2019-11-28;JOHV;423429
2020-01-01;DIJFP;55763
2020-01-11;SA;186085
2020-01-23;JOHV;373424
2020-01-27;JOHV;372250
2020-08-08;SA;97658
2020-08-29;SA;107148
2020-10-11;DIJFP;71587
2020-11-05;JOHV;59910
2020-11-09;JOHV;64512
2020-12-10;JOHV;115842
2020-12-16;JOHV;132148
2020-12-25;DIJFP;17808
2021-01-08;JOHV;116364
2021-01-30;SA;126525
2021-02-11;JOHV;70636
2021-02-20;SA;47050
2021-03-21;DIJFP;17540
2021-04-09;JOHV;61759
2021-04-11;DIJFP;21385
2021-05-20;JOHV;123273
2021-05-29;SA;105728
2021-06-09;JOHV;147521
2021-06-24;JOHV;197422
2021-07-07;JOVS;222497
2021-09-03;JOHV;193479
2021-09-04;SA;128344
2021-09-20;JOHV;228906
2021-10-07;JOHV;260274
2022-01-04;JOHV;171951
2022-02-02;JOHV;204211
2022-03-02;JOVS;227614
2022-03-12;SA;145938
2022-03-21;JOHV;240470
2022-04-23;SA;148108
2022-05-01;DIJFP;59884
2022-05-21;SA;158529
2022-07-15;JOVS;184986
2022-07-29;JOVS;194309
2022-08-23;JOVS;216711
2022-09-11;DIJFP;114569
2022-10-21;JOHV;264311
2022-11-20;DIJFP;111211
2023-01-04;JOHV;280116
2023-01-19;JOHV;113604
2023-02-19;DIJFP;102302
2023-02-21;JOVS;296390
2023-02-27;JOVS;252363
2023-03-05;DIJFP;105248
2023-03-10;JOHV;235407
2023-03-22;JOHV;299505
2023-04-01;SA;166654
2023-04-19;JOHV;302043
2023-05-20;SA;179993
2023-05-27;SA;169459
2023-06-02;JOHV;259835
2023-06-12;JOHV;301937
2023-06-13;JOHV;338480
2023-07-01;SA;162322
2023-07-11;JOVS;329149
2023-08-24;JOVS;225054
2023-09-10;DIJFP;117310
2023-09-22;JOHV;272313
2023-11-18;SA;198623
2023-11-29;JOHV;341352
2023-12-10;DIJFP;159101
2024-01-18;JOHV;300658
2024-02-08;JOHV;312407
2024-02-24;SA;161307
2024-03-15;JOHV;236401
2024-03-19;JOHV;310521
2024-04-09;JOVS;302274
2024-05-14;JOHV;338381
2024-09-08;DIJFP;134876
2024-09-13;JOHV;275425
2024-09-27;JOHV;294362
2024-10-01;JOHV;359325
2024-10-31;JOVS;307712
2024-11-03;DIJFP;151596
2024-12-10;JOHV;394651
2019-04-21;DIJFP;111735
2019-04-25;JOVS;371463
2019-04-28;DIJFP;106205
2019-05-04;SA;152143
2019-06-13;JOHV;413528
2019-07-18;JOVS;374618
2019-08-15;DIJFP;111107
2019-09-04;JOHV;358151
2019-09-14;SA;177956
2019-09-23;JOHV;345439
2019-10-20;DIJFP;111184
2019-10-23;JOVS;350265
2019-11-01;DIJFP;142055
2019-11-08;JOHV;339573
2019-11-23;SA;203802
2020-01-29;JOHV;369048
2020-02-02;DIJFP;117019
2020-02-07;JOHV;362296
2020-03-02;JOHV;359546
2020-05-05;JOHV;18803
2020-06-03;JOHV;74409
2020-06-28;DIJFP;64604
2020-07-06;JOVS;188855
2020-08-18;JOVS;146589
2020-09-18;JOHV;210686
2020-10-08;JOHV;216245
2020-11-02;JOHV;66584
2020-11-08;DIJFP;14014
2020-12-26;SA;96945
2021-01-02;SA;90202
2021-01-21;JOHV;134837
2021-01-23;SA;117359
2021-03-14;DIJFP;26925
2021-03-30;JOHV;89769
2021-04-16;JOVS;57899
2021-06-16;JOHV;185854
2021-07-10;SA;128857
2021-08-04;JOVS;145558
2021-08-13;JOVS;115783
2021-08-16;JOVS;118961
2021-11-04;JOVS;260341
2021-11-25;JOHV;267498
2021-12-20;JOVS;257649
2022-01-21;JOHV;161335
2022-03-10;JOHV;249000
2022-04-01;JOHV;201015
2022-04-06;JOHV;249345
2022-05-24;JOHV;276491
2022-07-07;JOVS;291573
2022-08-10;JOVS;193914
2022-08-15;DIJFP;101373
2022-09-16;JOHV;256077
2022-10-03;JOHV;296714
2022-10-26;JOVS;305087
2022-10-30;DIJFP;120642
2022-11-07;JOHV;285859
2022-11-24;JOHV;279705
2022-12-02;JOHV;257477
2022-12-18;DIJFP;123255
2022-12-26;JOVS;191414
2023-04-07;JOHV;242394
2023-05-13;SA;203504
2023-05-15;JOHV;332159
2023-06-30;JOHV;279733
2023-07-15;SA;160068
2023-07-17;JOVS;267747
2023-07-28;JOVS;209336
2023-08-05;SA;146715
2023-08-30;JOVS;266039
2023-09-11;JOHV;309782
2023-12-21;JOHV;352550
2023-12-31;DIJFP;154057
2024-01-09;JOHV;330317
2024-03-04;JOHV;281227
2024-04-12;JOVS;244991
2024-04-23;JOHV;298047
2024-05-21;JOHV;283285
2024-06-04;JOHV;345879
2024-07-20;SA;162647
2024-08-06;JOVS;240002
2024-08-20;JOVS;208238
2024-08-21;JOVS;200604
2024-10-19;SA;201211
2019-03-28;JOHV;395826
2019-03-31;DIJFP;132600
2019-04-03;JOHV;381627
2019-04-05;JOHV;387566
2019-05-09;JOHV;342344
2019-05-11;SA;173234
2019-05-21;JOHV;390802
2019-05-29;JOHV;366922
2019-07-21;DIJFP;117056
2019-07-22;JOVS;357747
2019-08-14;JOVS;226321
2019-08-29;JOVS;330674
2019-09-02;JOHV;335844
2019-10-02;JOHV;371126
2019-10-21;JOVS;346123
2019-10-27;DIJFP;115629
2019-11-19;JOHV;388912
2020-02-16;DIJFP;114793
2020-03-25;JOHV;12059
2020-04-06;JOVS;12099
2020-04-27;JOHV;15176
2020-09-22;JOHV;234713
2020-10-02;JOHV;212424
2020-11-04;JOHV;60367
2020-11-14;SA;31450
2020-12-13;DIJFP;69878
2020-12-31;JOVS;96260
2021-01-03;DIJFP;51988
2021-02-05;JOHV;82012
2021-03-03;JOHV;99147
2021-03-24;JOHV;80514
2021-03-29;JOHV;80529
2021-06-14;JOHV;169732
2021-07-08;JOVS;226003
2021-07-23;JOVS;160154
2021-07-24;SA;105464
2021-08-06;JOVS;130086
2021-08-09;JOVS;125179
2021-08-23;JOVS;142973
2021-09-10;JOHV;207362
2021-09-25;SA;156510
2021-09-26;DIJFP;90671
2021-10-19;JOHV;268878
2021-11-08;JOHV;244990
2022-01-14;JOHV;173474
2022-01-18;JOHV;190423
2022-01-30;DIJFP;82944
2022-03-08;JOHV;251925
2022-05-05;JOVS;255746
2022-06-02;JOHV;270651
2022-06-12;DIJFP;133643
2022-06-27;JOHV;276265
2022-07-14;DIJFP;145952
2022-08-21;DIJFP;86058
2022-09-26;JOHV;286180
2022-10-22;SA;178986
2022-11-14;JOHV;283601
2023-01-15;DIJFP;131866
2023-02-22;JOVS;281188
2023-03-30;JOHV;309302
2023-05-21;DIJFP;100307
2023-06-06;JOHV;326860
2023-07-03;JOHV;311352
2023-07-05;JOHV;334173
2023-07-23;DIJFP;114097
2023-07-30;DIJFP;108546
2023-08-07;JOVS;195797
2023-08-19;SA;130035
2023-09-03;DIJFP;115930
2023-09-08;JOHV;259830
2023-10-15;DIJFP;132237
2023-10-27;JOVS;266158
2023-11-21;JOHV;351291
2023-11-25;SA;269849
2024-01-02;JOVS;250904
2024-02-02;JOHV;237776
2024-02-09;JOHV;255722
2024-02-20;JOVS;265357
2024-03-13;JOHV;277359
2024-04-26;JOHV;258394
2024-05-01;DIJFP;90040
2019-03-16;SA;169075
2019-04-11;JOHV;397541
2019-04-13;SA;188708
2019-08-06;JOVS;289573
2019-08-21;JOVS;263780
2019-09-17;JOHV;383915
2019-10-11;JOHV;363868
2019-10-26;SA;194752
2019-11-07;JOHV;353167
2019-11-21;JOHV;390109
2019-11-29;JOHV;467210
2019-12-03;JOHV;411860
2019-12-07;SA;165357
2019-12-11;JOHV;304223
2020-01-22;JOHV;359965
2020-01-24;JOHV;304588
2020-02-03;JOHV;378955
2020-02-17;JOVS;327896
2020-03-20;JOHV;14850
2020-05-11;JOHV;39139
2020-07-07;JOVS;207970
2020-08-09;DIJFP;62856
2020-10-22;JOVS;200927
2020-10-25;DIJFP;68924
2020-10-27;JOVS;196567
2020-12-19;SA;125750
2021-01-18;JOHV;110719
2021-01-22;JOHV;125636
2021-03-31;JOHV;74217
2021-05-09;DIJFP;27493
2021-05-21;JOHV;116758
2021-08-07;SA;92231
2021-08-08;DIJFP;62147
2021-08-26;JOVS;161309
2021-08-29;DIJFP;68559
2021-10-11;JOHV;244037
2021-10-24;DIJFP;92731
2021-11-02;JOVS;249449
2021-11-11;DIJFP;115422
2021-12-08;JOHV;256285
2021-12-13;JOHV;242591
2021-12-19;DIJFP;137430
2021-12-28;JOVS;181754
2022-02-10;JOHV;232135
2022-03-25;JOHV;209577
2022-04-14;JOHV;265579
2022-04-20;JOHV;261041
2022-06-08;JOHV;279302
2022-06-14;JOHV;303441
2022-09-09;JOHV;250107
2022-09-22;JOHV;302187
2022-09-30;JOHV;267764
2022-12-19;JOVS;287521
2023-01-27;JOHV;247099
2023-01-31;JOHV;132481
2023-02-11;SA;167834
2023-04-18;JOHV;318244
2023-04-26;JOVS;296530
2023-05-10;JOHV;308326
2023-05-12;JOHV;258625
2023-06-25;DIJFP;120256
2023-07-09;DIJFP;124663
2023-07-31;JOVS;237057
2023-10-07;SA;180374
2023-11-04;SA;168777
2023-11-06;JOHV;268306
2023-11-23;JOHV;348845
2024-01-26;JOHV;260629
2024-01-31;JOHV;306322
2024-02-17;SA;145213
2024-02-21;JOVS;282349
2024-03-14;JOHV;287021
2024-03-26;JOHV;324547
2024-05-11;SA;211685
2024-05-13;JOHV;291701
2024-06-06;JOHV;343572
2024-06-21;JOHV;277896
2024-07-23;JOVS;282175
2024-08-17;SA;123357
2024-08-19;JOVS;186350
2024-08-25;DIJFP;100516
2024-09-20;JOHV;280424
2024-10-23;JOVS;339481
2024-11-09;SA;210877
2024-11-16;SA;235116
2024-07-01;JOHV;320505
2024-07-11;JOVS;322261
2024-09-14;SA;190867
2024-10-10;JOHV;353397
2024-10-13;DIJFP;131148
2024-10-21;JOVS;336485
2024-11-02;SA;184466
2024-11-11;DIJFP;142748
2024-12-06;JOHV;329050
2019-03-20;JOHV;371356
2019-12-28;SA;166041
2020-01-25;SA;186790
2020-07-22;JOVS;209804
2020-08-17;JOVS;139029
2020-12-08;JOHV;109414
2020-12-20;DIJFP;82715
2021-02-17;JOVS;82579
2021-03-02;JOHV;99276
2021-03-10;JOHV;92297
2021-04-17;SA;34014
2021-06-23;JOHV;190442
2021-06-26;SA;121820
2021-07-02;JOHV;194689
2021-07-09;JOVS;189475
2021-10-22;JOHV;227090
2021-12-09;JOHV;253440
2021-12-25;DIJFP;42434
2022-01-03;JOHV;176869
2022-04-09;SA;142677
2022-05-22;DIJFP;93214
2022-09-13;JOHV;308196
2022-11-21;JOHV;293908
2022-12-21;JOVS;284133
2023-01-13;JOHV;264161
2023-02-13;JOHV;302648
2023-03-03;JOVS;223330
2023-03-24;JOHV;238884
2023-04-23;DIJFP;110629
2023-08-15;DIJFP;103249
2024-02-11;DIJFP;103779
2024-02-27;JOHV;301022
2024-04-17;JOVS;293289
2024-08-01;JOVS;247124
2024-12-07;SA;303083
2024-05-06;JOHV;270515
2024-05-19;DIJFP;127270
2024-05-24;JOHV;264301
2024-06-09;DIJFP;124502
2024-08-28;JOVS;253183
2024-09-01;DIJFP;162682
2024-11-25;JOHV;349020
2019-05-18;SA;158764
2019-06-26;JOHV;459689
2019-07-01;JOHV;415555
2019-07-16;JOVS;375466
2019-08-17;SA;121811
2019-09-18;JOHV;374340
2019-11-04;JOHV;334939
2021-01-17;DIJFP;56368
2021-02-26;JOVS;76067
2021-05-13;DIJFP;39578
2021-05-22;SA;107448
2021-05-31;JOHV;118219
2021-09-15;JOHV;242793
2021-09-23;JOHV;248249
2021-10-01;JOHV;226187
2021-10-18;JOHV;242207
2021-11-14;DIJFP;85196
2021-11-24;JOHV;258809
2023-11-09;JOHV;328372
2023-11-10;JOHV;267345
2023-12-28;JOVS;236271
2023-12-30;SA;194581
2019-04-01;JOHV;376080
2019-05-13;JOHV;374567
2019-06-11;JOHV;419479
2019-11-05;JOHV;337585
2019-11-12;JOHV;353744
2019-11-15;JOHV;380304
2020-01-15;JOHV;369645
2020-01-19;DIJFP;114336
2020-02-06;JOHV;370553
2020-04-17;JOVS;13591
2020-05-18;JOHV;45711
2020-06-15;JOHV;123663
2020-06-30;JOHV;148972
2020-09-10;JOHV;224857
2020-09-27;DIJFP;72355
2020-10-29;JOVS;231991
2020-11-03;JOHV;62642
2020-11-11;DIJFP;21752
2021-02-15;JOVS;70265
2021-03-05;JOHV;79208
2021-03-13;SA;44033
2021-04-26;JOHV;78244
2021-05-27;JOHV;157162
2021-06-10;JOHV;155085
2021-07-14;DIJFP;104498
2021-09-09;JOHV;230829
2021-10-14;JOHV;264829
2022-01-20;JOHV;179741
2022-01-26;JOHV;175948
2022-01-29;SA;141181
2022-02-04;JOHV;187737
2022-03-13;DIJFP;90250
2022-03-27;DIJFP;87880
2022-04-07;JOHV;254326
2022-05-04;JOVS;227451
2022-05-31;JOHV;268367
2022-06-18;SA;167243
2022-07-01;JOHV;242231
2022-07-28;JOVS;229097
2022-08-06;SA;139373
2022-09-20;JOHV;311777
2022-10-08;SA;188173
2022-11-28;JOHV;265730
2022-12-07;JOHV;280125
2022-12-08;JOHV;317336
2022-12-16;JOHV;284899
2022-12-22;JOVS;268996
2022-12-24;SA;149161
2023-03-08;JOHV;221086
2023-03-20;JOHV;293668
2023-03-31;JOHV;250828
2023-04-04;JOHV;316330
2023-06-08;JOHV;338465
2023-06-24;SA;172799
2023-07-19;JOVS;288954
2023-08-18;JOVS;160729
2023-09-14;JOHV;319122
2023-10-10;JOHV;339673
2023-10-30;JOVS;280609
2023-12-16;SA;235500
2023-12-24;DIJFP;128123
2024-01-16;JOHV;357158
2024-02-03;SA;177577
2024-02-18;DIJFP;91667
2024-03-09;SA;186939
2024-04-10;JOVS;279594
2024-05-16;JOHV;329862
2024-05-22;JOHV;320095
2024-07-10;JOVS;320188
2024-08-30;JOVS;260291
2024-09-15;DIJFP;125995
2024-09-26;JOHV;357506
2024-10-08;JOHV;376570
2024-10-15;JOHV;364143
2019-04-22;DIJFP;125643
2019-04-27;SA;157873
2019-05-12;DIJFP;97613
2019-05-28;JOHV;384730
2019-07-20;SA;163769
2019-07-25;JOVS;359651
2019-08-11;DIJFP;85960
2019-08-25;DIJFP;91976
2019-10-29;JOVS;340941
2020-01-09;JOHV;310712
2020-02-10;JOVS;348464
2020-02-11;JOVS;365426
2020-02-26;JOHV;364878
2020-03-05;JOHV;363690
2020-03-24;JOHV;12786
2020-03-30;JOHV;12075
2020-05-22;DIJFP;45115
2020-06-27;SA;112170
2020-07-17;JOVS;196238
2020-07-23;JOVS;208619
2020-08-04;JOVS;172086
2020-08-07;JOVS;148337
2020-08-14;JOVS;127199
2020-08-19;JOVS;142817
2020-09-03;JOHV;218488
2020-09-13;DIJFP;73737
2020-09-21;JOHV;214354
2020-10-06;JOHV;226850
2020-10-21;JOVS;203855
2020-11-25;JOHV;65487
2021-01-28;JOHV;133455
2021-05-04;JOHV;88200
2021-05-05;JOHV;88210
2021-05-25;JOHV;134813
2021-05-28;JOHV;147428
2021-07-13;JOVS;211728
2021-08-02;JOVS;141141
2021-08-03;JOVS;151644
2021-08-28;SA;105371
2021-09-11;SA;142889
2021-10-02;SA;158325
2021-10-05;JOHV;263362
2021-10-12;JOHV;268545
2021-10-25;JOVS;238263
2021-11-17;JOHV;259266
2021-11-18;JOHV;268168
2021-12-12;DIJFP;120952
2021-12-23;JOVS;225535
2022-01-09;DIJFP;77175
2022-01-23;DIJFP;78534
2022-02-01;JOHV;206651
2022-02-13;DIJFP;93047
2022-02-23;JOVS;221731
2022-03-11;JOHV;212434
2022-04-16;SA;153431
2022-04-24;DIJFP;86057
2022-05-26;DIJFP;126714
2022-06-19;DIJFP;104151
2022-06-29;JOHV;292230
2022-08-09;JOVS;202331
2022-08-14;DIJFP;83270
2022-08-22;JOVS;193429
2022-08-26;JOVS;183441
2022-11-05;SA;173407
2023-02-01;JOHV;312390
2023-02-14;JOHV;333303
2023-03-04;SA;156562
2023-03-23;JOHV;167741
2023-05-31;JOHV;316747
2023-07-13;JOVS;290014
2023-08-09;JOVS;193525
2023-09-24;DIJFP;114622
2023-09-30;SA;182690
2023-10-31;JOVS;295748
2023-11-17;JOHV;277764
2023-11-27;JOHV;332026
2023-11-28;JOHV;359410
2024-02-06;JOHV;329848
2024-02-12;JOVS;269993
2024-02-23;JOVS;225345
2024-02-29;JOHV;304342
2024-03-02;SA;165706
2024-03-21;JOHV;259478
2024-03-29;JOHV;234632
2024-05-23;JOHV;332637
2024-06-19;JOHV;325960
2024-07-30;JOVS;263554
2024-08-15;DIJFP;109630
2024-09-19;JOHV;340502
2024-10-24;JOVS;346714
2024-11-12;JOHV;344499
2024-11-15;JOHV;301286
2024-11-21;JOHV;337177
2024-06-03;JOHV;315047
2024-06-07;JOHV;271175
2024-06-12;JOHV;331378
2024-06-18;JOHV;340375
2024-06-29;SA;193188
2024-09-09;JOHV;322486
2024-10-07;JOHV;334942
2024-10-25;JOVS;271510
2024-12-12;JOHV;375078
2024-12-21;SA;270346
2019-06-04;JOHV;394331
2019-07-06;SA;202360
2019-11-24;DIJFP;138985
2020-04-20;JOHV;9816
2020-05-07;JOHV;21444
2020-08-12;JOVS;142711
2020-08-21;JOVS;133000
2021-04-07;JOHV;62862
2021-04-10;SA;34854
2021-04-28;JOHV;84961
2021-05-16;DIJFP;24741
2021-05-23;DIJFP;67332
2021-07-04;DIJFP;91089
2021-09-19;DIJFP;87117
2021-12-31;JOVS;148834
2022-02-24;JOVS;208912
2022-03-06;DIJFP;88307
2022-03-09;JOHV;240571
2022-03-29;JOHV;260785
2022-04-29;JOVS;201109
2022-05-07;SA;150600
2022-05-18;JOHV;281686
2022-07-18;JOVS;246654
2022-07-21;JOVS;261067
2022-09-12;JOHV;286661
2022-10-10;JOHV;299213
2022-10-28;JOVS;195906
2022-11-23;JOHV;272771
2023-01-23;JOHV;282698
2023-03-13;JOHV;289222
2023-05-18;DIJFP;139115
2023-05-30;JOHV;305465
2023-07-22;SA;166259
2023-08-01;JOVS;249253
2023-09-02;SA;175096
2023-11-11;DIJFP;184162
2023-12-05;JOHV;367523
2024-01-07;DIJFP;104034
2024-01-28;DIJFP;115046
2024-02-07;JOHV;308420
2024-04-01;DIJFP;106135
2024-04-14;DIJFP;112669
2024-06-15;SA;173726
2024-08-24;SA;139794
2024-12-27;JOVS;241013
2019-03-27;JOHV;377022
2019-07-31;JOVS;315825
2019-08-10;SA;131439
2019-08-30;JOVS;318623
2019-10-10;JOHV;367827
2019-10-28;JOVS;327791
2019-12-25;DIJFP;53594
2020-01-04;SA;156114
2020-01-13;JOHV;365055
2020-03-19;JOHV;14958
2020-04-19;DIJFP;4809
2020-05-08;DIJFP;8410
2020-06-12;JOHV;110008
2020-07-02;JOHV;192051
2020-07-14;DIJFP;73541
2020-07-26;DIJFP;69216
2020-08-13;JOVS;139931
2020-08-20;JOVS;147499
2021-01-05;JOHV;115353
2021-01-29;JOHV;130470
2021-03-01;JOHV;87568
2021-03-09;JOHV;94812
2021-04-15;JOVS;64104
2021-06-11;JOHV;161991
2021-07-12;JOVS;194194
2021-07-31;SA;98053
2021-10-04;JOHV;245653
2021-11-30;JOHV;268148
2021-12-16;JOHV;259326
2019-04-15;JOHV;387132
2019-04-24;JOVS;363003
2019-06-23;DIJFP;119233
2019-12-31;JOVS;225199
2020-02-20;JOVS;352880
2020-05-04;JOHV;19309
2020-07-30;JOVS;191111
2020-11-21;SA;33292
2020-12-22;JOVS;151083
2021-01-14;JOHV;136043
2021-02-22;JOVS;80929
2021-04-04;DIJFP;19506
2021-04-23;JOVS;69645
2021-12-03;JOHV;235290
2022-03-17;JOHV;273182
2022-05-10;JOHV;284924
2022-06-11;SA;188919
2022-06-21;JOHV;307699
2022-07-06;JOVS;284213
2022-07-27;JOVS;210794
2022-09-02;JOHV;227443
2022-09-23;JOHV;253548
2022-09-24;SA;167353
2022-10-14;JOHV;269420
2022-12-15;JOHV;319928
2023-01-12;JOHV;328582
2023-05-26;JOHV;238001
2023-06-03;SA;187655
2023-06-18;DIJFP;119263
2023-07-02;DIJFP;121999
2023-09-07;JOHV;313373
2023-09-19;JOHV;339395
2023-10-18;JOHV;319107
2023-12-25;DIJFP;63829
2024-03-10;DIJFP;97195
2024-03-11;JOHV;238690
2024-05-03;JOHV;253586
2024-05-04;SA;177002
2024-09-03;JOHV;352661
2024-10-05;SA;210414
2024-12-23;JOVS;333108
2019-05-01;DIJFP;86744
2019-05-02;JOVS;373929
2019-05-03;JOVS;327690
2019-05-17;JOHV;376199
2019-06-18;JOHV;440639
2019-06-24;JOHV;404425
2019-07-07;DIJFP;134782
2019-07-13;SA;180410
2019-07-26;JOVS;333628
2019-08-19;JOVS;244429
2019-08-27;JOVS;320941
2019-09-06;JOHV;352108
2019-10-05;SA;185391
2019-10-30;JOVS;334470
2019-11-22;JOHV;394627
2019-12-21;SA;205266
2019-12-24;JOVS;215052
2020-01-07;JOHV;342677
2020-01-08;JOHV;363146
2020-03-01;DIJFP;96974
2020-03-04;JOHV;354445
2020-03-10;JOHV;343427
2020-04-14;JOVS;14003
2020-04-16;JOVS;13132
2020-04-24;JOHV;14144
2020-05-03;DIJFP;4903
2020-05-06;JOHV;19941
2020-05-13;JOHV;39746
2020-06-11;JOHV;116989
2020-07-24;JOVS;180970
2020-08-31;JOVS;204191
2020-09-23;JOHV;231252
2020-10-09;JOHV;202880
2020-10-10;SA;129391
2020-11-06;JOHV;55296
2020-12-12;SA;120550
2021-01-10;DIJFP;58457
2021-01-26;JOHV;118186
2021-02-06;SA;45318
2021-05-19;JOHV;134002
2021-07-21;JOVS;191023
2021-07-27;JOVS;189487
2021-09-05;DIJFP;83459
2021-10-20;JOHV;258479
2021-12-07;JOHV;268009
2021-12-15;JOHV;266239
2022-01-07;JOHV;158455
2022-02-08;JOHV;241012
2022-02-25;JOVS;173649
2022-05-06;JOVS;218839
2022-06-09;JOHV;291767
2022-07-20;JOVS;254879
2022-07-23;SA;147811
2022-08-05;JOVS;173359
2022-10-02;DIJFP;116744
2022-10-24;JOVS;302477
2022-11-06;DIJFP;100968
2022-11-12;SA;179910
2023-01-20;JOHV;248970
2023-03-28;JOHV;206527
2023-04-05;JOHV;308030
2023-04-13;JOHV;275669
2023-04-22;SA;158173
2023-05-17;JOHV;278877
2023-05-25;JOHV;299467
2023-06-28;JOHV;327400
2023-08-06;DIJFP;99652
2023-08-08;JOVS;208867
2023-08-14;DIJFP;143617
2023-08-26;SA;140603
2023-08-28;JOVS;243096
2023-09-17;DIJFP;118937
2023-10-03;JOHV;347359
2023-10-24;JOVS;339338
2023-12-03;DIJFP;145265
2023-12-26;JOVS;216408
2024-01-15;JOHV;320595
2024-03-07;JOHV;273420
2024-03-18;JOHV;283358
2024-03-28;JOHV;311532
2024-05-30;JOHV;346797
2024-06-20;JOHV;336837
