date;Type_Jour;Total
2019-05-05;DIJFP;109061
2019-06-12;JOHV;419998
2019-06-27;JOHV;451880
2019-08-01;JOVS;317497
2019-08-09;JOVS;255728
2019-09-03;JOHV;360977
2019-09-05;JOHV;357848
2019-10-04;JOHV;366310
2019-10-08;JOHV;383231
2019-11-02;SA;159245
2020-01-03;JOVS;263235
2020-02-22;SA;172352
2020-03-06;JOHV;351223
2020-03-11;JOHV;329409
2020-03-12;JOHV;329814
2020-04-02;JOHV;10770
2020-04-08;JOVS;12126
2020-04-15;JOVS;13384
2020-04-22;JOHV;14238
2020-05-23;SA;37487
2020-05-26;JOHV;50078
2020-06-05;JOHV;92343
2020-06-08;JOHV;106514
2020-06-18;JOHV;140773
2020-08-15;DIJFP;79285
2020-09-01;JOHV;206670
2020-09-14;JOHV;221070
2020-09-15;JOHV;233811
2020-11-10;JOHV;67458
2020-11-23;JOHV;66253
2021-01-15;JOHV;122934
2021-02-16;JOVS;82919
2021-03-06;SA;43932
2021-03-22;JOHV;68851
2021-04-19;JOVS;59093
2021-04-20;JOVS;63827
2021-06-28;JOHV;180840
2021-08-11;JOVS;129581
2021-08-20;JOVS;118267
2021-12-05;DIJFP;126508
2022-01-15;SA;147054
2022-02-06;DIJFP;89536
2022-02-09;JOHV;233582
2022-02-16;JOHV;241512
2022-04-08;JOHV;207672
2022-05-13;JOHV;238877
2022-05-16;JOHV;269709
2022-05-29;DIJFP;96901
2022-06-15;JOHV;291899
2022-06-26;DIJFP;147297
2022-07-03;DIJFP;122494
2022-07-04;JOHV;284324
2022-08-18;JOVS;179122
2022-09-05;JOHV;277919
2022-09-14;JOHV;296811
2022-10-05;JOHV;297856
2022-11-01;DIJFP;127881
2022-12-30;JOVS;200836
2023-05-03;JOVS;283706
2023-05-16;JOHV;318347
2023-06-16;JOHV;257347
2023-07-06;JOHV;336201
2023-07-25;JOVS;284514
2023-08-11;JOVS;160554
2023-08-25;JOVS;183610
2023-08-27;DIJFP;100907
2023-09-13;JOHV;322266
2023-09-25;JOHV;303336
2023-11-05;DIJFP;108345
2023-11-08;JOHV;315362
2023-11-20;JOHV;316931
2023-11-24;JOHV;322176
2023-12-06;JOHV;354881
2023-12-14;JOHV;367773
2023-12-19;JOHV;377296
2024-01-13;SA;206481
2024-03-30;SA;167224
2024-04-16;JOVS;311746
2024-05-17;JOHV;259438
2024-06-08;SA;189338
2024-08-31;SA;208905
2024-12-11;JOHV;372218
2024-08-26;JOVS;236559
2024-09-07;SA;225846
2024-09-11;JOHV;329158
2024-09-24;JOHV;359084
2024-10-16;JOHV;344189
2024-12-13;JOHV;318701
2019-04-12;JOHV;388944
2019-04-18;JOHV;406388
2019-05-25;SA;158420
2019-04-19;JOHV;388461
2019-06-16;DIJFP;112325
2020-02-27;JOHV;379909
2019-11-13;JOHV;372729
2019-11-26;JOHV;400851
2020-04-30;JOHV;16684
2020-03-07;SA;154607
2020-05-15;JOHV;41559
2020-09-16;JOHV;226970
2020-09-19;SA;121215
2020-10-12;JOHV;204522
2020-10-03;SA;130721
2020-12-05;SA;128372
2020-12-23;JOVS;146562
2021-01-24;DIJFP;66547
2021-03-17;JOHV;94683
2021-02-07;DIJFP;24442
2021-03-26;JOHV;71571
2021-02-12;JOHV;63069
2021-04-02;JOHV;56422
2021-02-18;JOVS;81649
2021-04-05;DIJFP;16535
2021-03-20;SA;28145
2021-07-15;JOVS;192000
2021-12-27;JOVS;172767
2022-01-01;DIJFP;47540
2021-10-30;SA;154503
2022-01-10;JOHV;168031
2021-11-01;DIJFP;108295
2022-01-13;JOHV;186124
2022-04-17;DIJFP;108281
2021-11-03;JOVS;258109
2022-07-30;SA;144687
2021-11-09;JOHV;266307
2022-10-07;JOHV;268227
2021-12-11;SA;192664
2022-10-15;SA;188174
2022-08-28;DIJFP;96161
2022-12-05;JOHV;259297
2022-12-06;JOHV;282481
2022-11-16;JOHV;302650
2023-03-25;SA;152914
2022-12-13;JOHV;299963
2023-04-02;DIJFP;115235
2023-01-22;DIJFP;109133
2023-04-17;JOHV;289023
2023-03-19;DIJFP;105428
2023-05-05;JOVS;230881
2023-04-20;JOHV;297143
2023-06-27;JOHV;330650
2023-05-04;JOVS;280869
2023-07-18;JOVS;299443
2023-05-06;SA;171242
2023-10-09;JOHV;310415
2023-09-16;SA;198225
2024-03-25;JOHV;287951
2024-04-02;JOHV;306927
2024-04-07;DIJFP;137712
2024-05-26;DIJFP;122399
2019-06-06;JOHV;420325
2019-07-04;JOHV;435598
2019-08-20;JOVS;256588
2019-11-20;JOHV;381483
2019-11-30;SA;267304
2020-02-21;JOVS;347324
2020-03-23;JOHV;13917
2020-05-20;JOHV;48821
2020-05-27;JOHV;52354
2020-07-25;SA;114047
2020-08-03;JOVS;162490
2020-09-26;SA;129941
2020-11-07;SA;30084
2021-02-08;JOHV;78302
2021-04-01;JOHV;70594
2021-09-01;JOVS;219317
2021-10-26;JOVS;262213
2021-10-31;DIJFP;130000
2021-11-16;JOHV;266956
2021-11-21;DIJFP;94563
2021-12-30;JOVS;177153
2022-02-19;SA;141134
2022-03-20;DIJFP;96153
2022-06-17;JOHV;252580
2022-09-25;DIJFP;111846
2022-11-08;JOHV;315190
2022-11-22;JOHV;305529
2022-11-25;JOHV;262620
2022-12-11;DIJFP;137531
2023-01-08;DIJFP;108477
2023-01-25;JOHV;292504
2023-02-18;SA;155669
2023-10-23;JOVS;311973
2023-10-25;JOVS;324715
2023-12-23;SA;226194
2024-01-06;SA;174575
2024-01-29;JOHV;296659
2024-01-30;JOHV;326533
2024-03-06;JOHV;262602
2024-07-04;JOHV;350848
2024-07-19;JOVS;232649
2024-08-09;JOVS;205345
2024-10-22;JOVS;367855
2024-11-05;JOHV;350809
2024-11-26;JOHV;394748
2024-12-05;JOHV;415399
2019-03-23;SA;171399
2019-05-16;JOHV;393265
2019-11-11;DIJFP;134744
2020-05-10;DIJFP;6166
2020-08-30;DIJFP;66888
2020-12-01;JOHV;103800
2021-03-18;JOHV;92112
2021-03-23;JOHV;78425
2021-05-08;DIJFP;40739
2021-11-29;JOHV;244732
2022-02-14;JOHV;235899
2022-02-22;JOVS;239726
2022-05-12;JOHV;288853
2022-06-20;JOHV;266496
2022-07-05;JOHV;305982
2022-12-12;JOHV;270302
2023-01-10;JOHV;318314
2023-02-15;JOHV;315153
2023-04-25;JOVS;317245
2023-08-29;JOVS;274856
2023-09-28;JOHV;327700
2023-11-13;JOHV;311344
2023-11-15;JOHV;323078
2023-12-18;JOHV;347749
2024-01-23;JOHV;326410
2024-02-10;SA;165509
2024-06-25;JOHV;346050
2019-03-18;JOHV;367094
2019-03-25;JOHV;365825
2019-04-10;JOHV;387513
2019-06-15;SA;196011
2019-07-29;JOVS;333874
2019-09-10;JOHV;368548
2019-12-20;JOHV;343467
2020-01-17;JOHV;366369
2020-02-29;SA;181346
2020-06-06;SA;91533
2020-06-10;JOHV;116149
2020-07-03;JOHV;173181
2020-07-09;JOVS;205552
2020-07-28;JOVS;159097
2020-10-30;JOVS;61683
2020-11-18;JOHV;65947
2020-12-30;JOVS;115140
2021-03-15;JOHV;91035
2021-04-13;JOVS;64525
2021-07-28;JOVS;176770
2021-09-08;JOHV;228494
2021-12-17;JOHV;239680
2021-12-22;JOVS;238135
2022-01-27;JOHV;176674
2022-07-16;SA;154709
2022-08-27;SA;142817
2022-11-30;JOHV;273291
2022-12-03;SA;219280
2023-04-06;JOHV;247686
2023-04-11;JOHV;300874
2023-06-29;JOHV;382530
2023-08-16;JOVS;181490
2023-08-22;JOVS;260258
2024-01-03;JOVS;283306
2024-01-08;JOHV;308270
2024-01-10;JOHV;347441
2024-02-19;JOVS;239602
2024-04-30;JOHV;332279
2024-05-25;SA;186210
2024-08-02;JOVS;218395
2024-09-28;SA;207131
2024-10-03;JOHV;358110
2024-11-27;JOHV;359231
2019-07-14;DIJFP;115289
2020-03-22;DIJFP;5550
2020-05-30;SA;48590
2020-06-19;JOHV;133990
2020-09-30;JOHV;226964
2021-08-24;JOVS;161940
2021-11-23;JOHV;272609
2022-04-12;JOHV;278429
2023-01-03;JOHV;287049
2023-01-26;JOHV;299684
2023-04-12;JOHV;297344
2023-06-05;JOHV;312567
2023-06-10;SA;192497
2023-09-05;JOHV;329104
2023-09-18;JOHV;310932
2023-12-15;JOHV;302009
2024-04-27;SA;183898
2024-12-08;DIJFP;178623
2024-12-29;DIJFP;178078
2019-05-22;JOHV;386074
2019-06-02;DIJFP;107990
2019-06-05;JOHV;398572
2019-06-10;DIJFP;170557
2019-07-30;JOVS;335126
2019-08-03;SA;147641
2019-08-12;JOVS;234329
2019-09-21;SA;176359
2019-12-05;JOHV;133471
2019-12-14;SA;186157
2019-12-16;JOHV;338758
2020-06-01;DIJFP;41158
2020-06-24;JOHV;166210
2020-07-15;JOVS;210883
2020-07-18;SA;119719
2020-08-28;JOVS;167375
2021-01-16;SA;95898
2021-02-03;JOHV;99247
2021-03-19;JOHV;77262
2021-06-01;JOHV;148521
2021-10-09;SA;161726
2021-12-18;SA;197580
2022-02-28;JOVS;201840
2022-10-09;DIJFP;117906
2022-10-18;JOHV;227019
2023-01-06;JOHV;242908
2023-04-15;SA;167077
2023-05-08;DIJFP;112876
2023-06-04;DIJFP;124442
2023-07-10;JOVS;302671
2023-09-29;JOHV;276821
2023-10-20;JOHV;267988
2023-11-03;JOVS;257514
2024-01-04;JOVS;293865
2024-02-05;JOHV;297039
2024-04-22;JOHV;260922
2024-05-10;DIJFP;241318
2024-07-24;JOVS;248768
2024-08-03;SA;187739
2024-12-02;JOHV;357707
2024-12-26;JOVS;250390
2019-03-29;JOHV;380092
2019-04-06;SA;175531
2019-04-14;DIJFP;126337
2019-04-16;JOHV;397576
2019-05-26;DIJFP;98936
2019-06-19;JOHV;429351
2019-07-03;JOHV;461000
2019-09-24;JOHV;364188
2019-10-06;DIJFP;113785
2019-12-17;JOHV;292021
2020-01-21;JOHV;371360
2020-02-13;JOVS;364667
2020-03-03;JOHV;367711
2020-03-16;JOHV;92470
2020-05-29;JOHV;56836
2020-07-10;JOVS;178404
2020-07-27;JOVS;190491
2020-11-20;JOHV;61689
2021-04-18;DIJFP;21939
2021-06-30;JOHV;235383
2021-07-17;SA;117940
2021-08-01;DIJFP;61692
2021-08-17;JOVS;133373
2021-10-06;JOHV;261348
2022-09-19;JOHV;283944
2022-11-26;SA;189266
2023-01-21;SA;183871
2023-04-28;JOVS;234285
2023-05-19;DIJFP;188375
2023-06-26;JOHV;300709
2023-07-26;JOVS;270533
2023-08-10;JOVS;188540
2023-09-15;JOHV;263378
2023-11-26;DIJFP;158095
2024-02-14;JOVS;274800
2024-04-05;JOHV;249557
2024-04-21;DIJFP;95990
2024-07-03;JOHV;344905
2024-07-14;DIJFP;124908
2024-08-14;JOVS;167467
2024-11-20;JOHV;362283
2024-12-03;JOHV;387262
2019-10-13;DIJFP;117192
2020-01-26;DIJFP;108212
2020-02-19;JOVS;343482
2020-04-09;JOVS;11959
2020-04-28;JOHV;15632
2020-06-07;DIJFP;45503
2020-06-26;JOHV;151747
2020-07-08;JOVS;202519
2020-07-21;JOVS;214776
2020-10-19;JOVS;201336
2021-02-13;SA;34770
2021-03-04;JOHV;99658
2021-03-16;JOHV;94556
2021-03-27;SA;36420
2021-04-22;JOVS;75775
2021-06-02;JOHV;157745
2021-06-12;SA;125137
2021-07-03;SA;137796
2021-07-06;JOVS;228408
2021-08-05;JOVS;146911
2021-08-30;JOVS;183074
2021-10-10;DIJFP;94629
2021-10-13;JOHV;257640
2021-12-06;JOHV;243415
2022-04-25;JOVS;228631
2022-05-25;JOHV;245801
2022-06-05;DIJFP;126983
2022-07-02;SA;200960
2022-08-04;JOVS;205806
2022-09-03;SA;170278
2022-09-04;DIJFP;112007
2022-09-08;JOHV;298575
2022-09-18;DIJFP;124106
2022-10-01;SA;184106
2022-10-11;JOHV;326783
2022-10-12;JOHV;308209
2022-12-01;JOHV;280642
2022-12-14;JOHV;298606
2023-02-16;JOHV;234720
2023-03-18;SA;159182
2023-03-27;JOHV;283563
2023-04-29;SA;166950
2023-05-23;JOHV;310935
2023-06-17;SA;173500
2023-07-04;JOHV;344377
2023-10-08;DIJFP;113598
2023-10-13;JOHV;249194
2023-10-19;JOHV;326011
2023-10-28;SA;183322
2024-01-14;DIJFP;122979
2024-01-22;JOHV;303564
2024-05-05;DIJFP;112858
2024-05-07;JOHV;278970
2024-05-15;JOHV;318184
2024-06-10;JOHV;319789
2024-06-13;JOHV;344817
2024-06-24;JOHV;318667
2024-07-17;JOVS;299626
2024-08-10;SA;183820
2024-08-16;DIJFP;130868
2024-09-18;JOHV;332956
2024-10-27;DIJFP;130322
2024-10-29;JOVS;350434
2024-11-13;JOHV;339113
2024-11-19;JOHV;370952
2019-04-17;JOHV;396192
2019-05-30;DIJFP;145576
2019-06-07;JOHV;411676
2019-08-08;JOVS;277271
2019-09-07;SA;173989
2019-12-13;JOHV;313180
2019-12-22;DIJFP;139162
2020-02-23;DIJFP;99253
2020-04-18;SA;9830
2020-07-19;DIJFP;71192
2020-10-13;JOHV;216380
2020-11-27;JOHV;67275
2020-11-29;DIJFP;54919
